SystemCodeNumber,Capacity,Occupancy,LastUpdated,occupancy_rate
BHMBCCSNH01,863,373,2016-10-04 08:59:42,0.4322132097334878
BHMBCCTHL01,387,155,2016-10-04 08:59:42,0.4005167958656331
BHMBRCBRG01,1010,116,2016-10-04 08:59:42,0.11485148514851486
BHMBRCBRG02,1194,142,2016-10-04 08:59:42,0.11892797319932999
BHMBRCBRG03,849,98,2016-10-04 08:59:42,0.1154299175500589
BHMEURBRD01,470,269,2016-10-04 08:59:42,0.5723404255319149
BHMEURBRD02,220,146,2016-10-04 08:59:42,0.6636363636363637
BHMMBMMBX01,687,346,2016-10-04 08:59:42,0.5036390101892285
BHMNCPHST01,1200,441,2016-10-04 08:59:42,0.3675
BHMNCPLDH01,720,517,2016-10-04 08:59:42,0.7180555555555556
BHMNCPNHS01,500,302,2016-10-04 08:59:42,0.604
BHMNCPNST01,485,278,2016-10-04 08:59:42,0.5731958762886598
BHMNCPPLS01,450,85,2016-10-04 08:59:42,0.18888888888888888
BHMNCPRAN01,600,374,2016-10-04 08:59:42,0.6233333333333333
Broad Street,690,415,2016-10-04 08:59:42,0.6014492753623188
Bull Ring,3053,356,2016-10-04 08:59:42,0.1166066164428431
NIA Car Parks,1268,166,2016-10-04 08:59:42,0.1309148264984227
NIA South,788,153,2016-10-04 08:59:42,0.19416243654822335
Others-CCCPS105a,2009,864,2016-10-04 08:59:42,0.4300647088103534
Others-CCCPS119a,2803,323,2016-10-04 08:59:42,0.11523367820192651
Others-CCCPS133,4675,1065,2016-10-04 08:59:42,0.22780748663101605
Others-CCCPS135a,3883,2007,2016-10-04 08:59:42,0.516868400721092
Others-CCCPS202,2937,848,2016-10-04 08:59:42,0.28872999659516513
Others-CCCPS8,1322,518,2016-10-04 08:59:42,0.3918305597579425
Others-CCCPS98,3103,792,2016-10-04 08:59:42,0.25523686754753466
Shopping,1920,958,2016-10-04 08:59:42,0.49895833333333334
BHMNCPPLS01,450,84,2016-10-04 09:25:48,0.18666666666666668
BHMBCCMKT01,577,107,2016-10-04 09:32:46,0.1854419410745234
BHMBCCPST01,317,116,2016-10-04 09:32:46,0.3659305993690852
BHMBCCSNH01,863,503,2016-10-04 09:32:46,0.5828505214368482
BHMBCCTHL01,387,204,2016-10-04 09:32:46,0.5271317829457365
BHMBRCBRG01,1010,145,2016-10-04 09:32:46,0.14356435643564355
BHMBRCBRG02,1194,177,2016-10-04 09:32:46,0.14824120603015076
BHMBRCBRG03,849,114,2016-10-04 09:32:46,0.13427561837455831
BHMEURBRD01,470,351,2016-10-04 09:32:46,0.7468085106382979
BHMEURBRD02,220,179,2016-10-04 09:32:46,0.8136363636363636
BHMMBMMBX01,687,414,2016-10-04 09:32:46,0.6026200873362445
BHMNCPHST01,1200,552,2016-10-04 09:32:46,0.46
BHMNCPLDH01,720,569,2016-10-04 09:32:46,0.7902777777777777
BHMNCPNHS01,500,405,2016-10-04 09:32:46,0.81
BHMNCPNST01,485,302,2016-10-04 09:32:46,0.622680412371134
BHMNCPRAN01,600,473,2016-10-04 09:32:46,0.7883333333333333
Broad Street,690,530,2016-10-04 09:32:46,0.7681159420289855
Bull Ring,3053,436,2016-10-04 09:32:46,0.14281035047494267
NIA Car Parks,1268,213,2016-10-04 09:32:46,0.16798107255520506
NIA South,788,190,2016-10-04 09:32:46,0.24111675126903553
Others-CCCPS105a,2009,1004,2016-10-04 09:32:46,0.4997511199601792
Others-CCCPS119a,2803,420,2016-10-04 09:32:46,0.14983945772386728
Others-CCCPS133,4675,1236,2016-10-04 09:32:46,0.26438502673796793
Others-CCCPS135a,3883,2502,2016-10-04 09:32:46,0.6443471542621684
Others-CCCPS202,2937,1036,2016-10-04 09:32:46,0.35274089206673476
Others-CCCPS8,1322,590,2016-10-04 09:32:46,0.4462934947049924
Others-CCCPS98,3103,932,2016-10-04 09:32:46,0.30035449564937156
Shopping,1920,1121,2016-10-04 09:32:46,0.5838541666666667
BHMBCCMKT01,577,150,2016-10-04 09:59:48,0.25996533795493937
BHMBCCPST01,317,129,2016-10-04 09:59:48,0.4069400630914827
BHMBCCSNH01,863,590,2016-10-04 09:59:48,0.6836616454229433
BHMBCCTHL01,387,236,2016-10-04 09:59:48,0.6098191214470284
BHMBRCBRG01,1010,215,2016-10-04 09:59:48,0.21287128712871287
BHMBRCBRG02,1194,231,2016-10-04 09:59:48,0.1934673366834171
BHMBRCBRG03,849,151,2016-10-04 09:59:48,0.17785630153121318
BHMEURBRD01,470,397,2016-10-04 09:59:48,0.8446808510638298
BHMEURBRD02,220,203,2016-10-04 09:59:48,0.9227272727272727
BHMMBMMBX01,687,485,2016-10-04 09:59:48,0.7059679767103348
BHMNCPHST01,1200,638,2016-10-04 09:59:48,0.5316666666666666
BHMNCPLDH01,720,616,2016-10-04 09:59:48,0.8555555555555555
BHMNCPNHS01,500,442,2016-10-04 09:59:48,0.884
BHMNCPNST01,485,327,2016-10-04 09:59:48,0.6742268041237114
BHMNCPPLS01,450,94,2016-10-04 09:59:48,0.2088888888888889
BHMNCPRAN01,600,516,2016-10-04 09:59:48,0.86
Broad Street,690,600,2016-10-04 09:59:48,0.8695652173913043
Bull Ring,3053,597,2016-10-04 09:59:48,0.19554536521454308
NIA Car Parks,1268,237,2016-10-04 09:59:48,0.18690851735015773
NIA South,788,206,2016-10-04 09:59:48,0.2614213197969543
Others-CCCPS105a,2009,1142,2016-10-04 09:59:48,0.5684420109507218
Others-CCCPS119a,2803,476,2016-10-04 09:59:48,0.1698180520870496
Others-CCCPS133,4675,1503,2016-10-04 09:59:48,0.32149732620320853
Others-CCCPS135a,3883,2802,2016-10-04 09:59:48,0.7216070048931239
Others-CCCPS202,2937,1163,2016-10-04 09:59:48,0.39598229485869935
Others-CCCPS8,1322,657,2016-10-04 09:59:48,0.4969742813918306
Others-CCCPS98,3103,1052,2016-10-04 09:59:48,0.33902674830808893
Shopping,1920,1254,2016-10-04 09:59:48,0.653125
BHMBCCMKT01,577,177,2016-10-04 10:26:49,0.30675909878682844
BHMBCCPST01,317,142,2016-10-04 10:26:49,0.4479495268138801
BHMBCCSNH01,863,661,2016-10-04 10:26:49,0.7659327925840093
BHMBCCTHL01,387,264,2016-10-04 10:26:49,0.6821705426356589
BHMBRCBRG01,1010,304,2016-10-04 10:26:49,0.300990099009901
BHMBRCBRG02,1194,291,2016-10-04 10:26:49,0.24371859296482412
BHMBRCBRG03,849,175,2016-10-04 10:26:49,0.2061248527679623
BHMEURBRD01,470,430,2016-10-04 10:26:49,0.9148936170212766
BHMEURBRD02,220,212,2016-10-04 10:26:49,0.9636363636363636
BHMMBMMBX01,687,530,2016-10-04 10:26:49,0.7714701601164483
BHMNCPHST01,1200,686,2016-10-04 10:26:49,0.5716666666666667
BHMNCPLDH01,720,638,2016-10-04 10:26:49,0.8861111111111111
BHMNCPNST01,485,351,2016-10-04 10:26:49,0.7237113402061855
BHMNCPPLS01,450,100,2016-10-04 10:26:49,0.2222222222222222
BHMNCPRAN01,600,549,2016-10-04 10:26:49,0.915
Broad Street,690,642,2016-10-04 10:26:49,0.9304347826086956
Bull Ring,3053,770,2016-10-04 10:26:49,0.2522109400589584
NIA Car Parks,1268,258,2016-10-04 10:26:49,0.20347003154574134
NIA South,788,219,2016-10-04 10:26:49,0.2779187817258883
Others-CCCPS105a,2009,1245,2016-10-04 10:26:49,0.6197112991538078
Others-CCCPS119a,2803,525,2016-10-04 10:26:49,0.1872993221548341
Others-CCCPS133,4675,1751,2016-10-04 10:26:49,0.37454545454545457
Others-CCCPS135a,3883,3035,2016-10-04 10:26:49,0.7816121555498327
Others-CCCPS202,2937,1257,2016-10-04 10:26:49,0.4279877425944842
Others-CCCPS8,1322,715,2016-10-04 10:26:49,0.5408472012102874
Others-CCCPS98,3103,1142,2016-10-04 10:26:49,0.368030937802127
Shopping,1920,1324,2016-10-04 10:26:49,0.6895833333333333
BHMNCPNHS01,500,498,2016-10-04 10:52:49,0.996
BHMBCCMKT01,577,219,2016-10-04 10:59:48,0.37954939341421146
BHMBCCPST01,317,156,2016-10-04 10:59:48,0.4921135646687697
BHMBCCSNH01,863,714,2016-10-04 10:59:48,0.8273464658169177
BHMBCCTHL01,387,308,2016-10-04 10:59:48,0.7958656330749354
BHMBRCBRG01,1010,415,2016-10-04 10:59:48,0.41089108910891087
BHMBRCBRG02,1194,376,2016-10-04 10:59:48,0.3149078726968174
BHMBRCBRG03,849,211,2016-10-04 10:59:48,0.24852767962308597
BHMEURBRD01,470,458,2016-10-04 10:59:48,0.9744680851063829
BHMEURBRD02,220,217,2016-10-04 10:59:48,0.9863636363636363
BHMMBMMBX01,687,573,2016-10-04 10:59:48,0.834061135371179
BHMNCPHST01,1200,729,2016-10-04 10:59:48,0.6075
BHMNCPLDH01,720,658,2016-10-04 10:59:48,0.9138888888888889
BHMNCPNST01,485,371,2016-10-04 10:59:48,0.7649484536082474
BHMNCPPLS01,450,112,2016-10-04 10:59:48,0.24888888888888888
BHMNCPRAN01,600,570,2016-10-04 10:59:48,0.95
Broad Street,690,675,2016-10-04 10:59:48,0.9782608695652174
Bull Ring,3053,1002,2016-10-04 10:59:48,0.32820176875204715
NIA Car Parks,1268,263,2016-10-04 10:59:48,0.20741324921135645
NIA South,788,228,2016-10-04 10:59:48,0.2893401015228426
Others-CCCPS105a,2009,1364,2016-10-04 10:59:48,0.6789447486311598
Others-CCCPS119a,2803,574,2016-10-04 10:59:48,0.20478059222261863
Others-CCCPS133,4675,2058,2016-10-04 10:59:48,0.4402139037433155
Others-CCCPS135a,3883,3169,2016-10-04 10:59:48,0.816121555498326
Others-CCCPS202,2937,1354,2016-10-04 10:59:48,0.4610146407899217
Others-CCCPS8,1322,791,2016-10-04 10:59:48,0.5983358547655068
Others-CCCPS98,3103,1210,2016-10-04 10:59:48,0.38994521430873347
Shopping,1920,1387,2016-10-04 10:59:48,0.7223958333333333
BHMBRCBRG01,1010,476,2016-10-04 11:19:43,0.47128712871287126
BHMBRCBRG02,1194,433,2016-10-04 11:19:43,0.3626465661641541
BHMBRCBRG03,849,228,2016-10-04 11:19:43,0.26855123674911663
Bull Ring,3053,1137,2016-10-04 11:19:43,0.3724205699312152
BHMBCCMKT01,577,247,2016-10-04 11:25:47,0.42807625649913345
BHMBCCPST01,317,167,2016-10-04 11:25:47,0.526813880126183
BHMBCCSNH01,863,723,2016-10-04 11:25:47,0.8377752027809965
BHMBCCTHL01,387,324,2016-10-04 11:25:47,0.8372093023255814
BHMEURBRD01,470,464,2016-10-04 11:25:47,0.9872340425531915
BHMEURBRD02,220,208,2016-10-04 11:25:47,0.9454545454545454
BHMMBMMBX01,687,604,2016-10-04 11:25:47,0.8791848617176128
BHMNCPHST01,1200,765,2016-10-04 11:25:47,0.6375
BHMNCPLDH01,720,663,2016-10-04 11:25:47,0.9208333333333333
BHMNCPNST01,485,373,2016-10-04 11:25:47,0.7690721649484537
BHMNCPPLS01,450,123,2016-10-04 11:25:47,0.2733333333333333
BHMNCPRAN01,600,572,2016-10-04 11:25:47,0.9533333333333334
Broad Street,690,672,2016-10-04 11:25:47,0.9739130434782609
NIA Car Parks,1268,261,2016-10-04 11:25:47,0.2058359621451104
NIA South,788,234,2016-10-04 11:25:47,0.2969543147208122
Others-CCCPS105a,2009,1424,2016-10-04 11:25:47,0.7088103534096566
Others-CCCPS119a,2803,588,2016-10-04 11:25:47,0.2097752408134142
Others-CCCPS133,4675,2237,2016-10-04 11:25:47,0.47850267379679146
Others-CCCPS135a,3883,3221,2016-10-04 11:25:47,0.829513262941025
Others-CCCPS202,2937,1369,2016-10-04 11:25:47,0.46612189308818525
Others-CCCPS8,1322,820,2016-10-04 11:25:47,0.6202723146747352
Others-CCCPS98,3103,1241,2016-10-04 11:25:47,0.3999355462455688
Shopping,1920,1428,2016-10-04 11:25:47,0.74375
BHMNCPNHS01,500,498,2016-10-04 11:32:45,0.996
BHMNCPPLS01,450,123,2016-10-04 11:39:43,0.2733333333333333
BHMBCCMKT01,577,259,2016-10-04 11:59:44,0.4488734835355286
BHMBCCPST01,317,175,2016-10-04 11:59:44,0.5520504731861199
BHMBCCSNH01,863,737,2016-10-04 11:59:44,0.8539976825028969
BHMBCCTHL01,387,332,2016-10-04 11:59:44,0.8578811369509044
BHMEURBRD01,470,460,2016-10-04 11:59:44,0.9787234042553191
BHMEURBRD02,220,217,2016-10-04 11:59:44,0.9863636363636363
BHMMBMMBX01,687,634,2016-10-04 11:59:44,0.9228529839883551
BHMNCPHST01,1200,771,2016-10-04 11:59:44,0.6425
BHMNCPLDH01,720,676,2016-10-04 11:59:44,0.9388888888888889
BHMNCPNST01,485,381,2016-10-04 11:59:44,0.7855670103092783
BHMNCPRAN01,600,566,2016-10-04 11:59:44,0.9433333333333334
Broad Street,690,677,2016-10-04 11:59:44,0.981159420289855
NIA Car Parks,1268,270,2016-10-04 11:59:44,0.21293375394321767
NIA South,788,244,2016-10-04 11:59:44,0.3096446700507614
Others-CCCPS105a,2009,1470,2016-10-04 11:59:44,0.7317073170731707
Others-CCCPS119a,2803,605,2016-10-04 11:59:44,0.21584017124509455
Others-CCCPS133,4675,2275,2016-10-04 11:59:44,0.48663101604278075
Others-CCCPS135a,3883,3248,2016-10-04 11:59:44,0.836466649497811
Others-CCCPS202,2937,1390,2016-10-04 11:59:44,0.47327204630575415
Others-CCCPS8,1322,836,2016-10-04 11:59:44,0.632375189107413
Others-CCCPS98,3103,1288,2016-10-04 11:59:44,0.41508217853689977
Shopping,1920,1447,2016-10-04 11:59:44,0.7536458333333333
BHMBCCMKT01,577,266,2016-10-04 12:29:45,0.4610051993067591
BHMBCCPST01,317,191,2016-10-04 12:29:45,0.6025236593059937
BHMBCCSNH01,863,732,2016-10-04 12:29:45,0.8482039397450754
BHMBCCTHL01,387,334,2016-10-04 12:29:45,0.8630490956072352
BHMBRCBRG01,1010,632,2016-10-04 12:29:45,0.6257425742574257
BHMBRCBRG02,1194,543,2016-10-04 12:29:45,0.4547738693467337
BHMBRCBRG03,849,271,2016-10-04 12:29:45,0.31919905771495877
BHMEURBRD01,470,464,2016-10-04 12:29:45,0.9872340425531915
BHMEURBRD02,220,219,2016-10-04 12:29:45,0.9954545454545455
BHMMBMMBX01,687,648,2016-10-04 12:29:45,0.9432314410480349
BHMNCPHST01,1200,779,2016-10-04 12:29:45,0.6491666666666667
BHMNCPLDH01,720,681,2016-10-04 12:29:45,0.9458333333333333
BHMNCPNHS01,500,499,2016-10-04 12:29:45,0.998
BHMNCPNST01,485,379,2016-10-04 12:29:45,0.7814432989690722
BHMNCPRAN01,600,560,2016-10-04 12:29:45,0.9333333333333333
Broad Street,690,683,2016-10-04 12:29:45,0.9898550724637681
Bull Ring,3053,1446,2016-10-04 12:29:45,0.4736324926301998
NIA Car Parks,1268,267,2016-10-04 12:29:45,0.21056782334384858
NIA South,788,253,2016-10-04 12:29:45,0.3210659898477157
Others-CCCPS105a,2009,1484,2016-10-04 12:29:45,0.7386759581881533
Others-CCCPS119a,2803,604,2016-10-04 12:29:45,0.21548341063146628
Others-CCCPS133,4675,2596,2016-10-04 12:29:45,0.5552941176470588
Others-CCCPS135a,3883,3251,2016-10-04 12:29:45,0.8372392480041205
Others-CCCPS202,2937,1397,2016-10-04 12:29:45,0.4756554307116105
Others-CCCPS8,1322,836,2016-10-04 12:29:45,0.632375189107413
Others-CCCPS98,3103,1297,2016-10-04 12:29:45,0.41798259748630356
Shopping,1920,1460,2016-10-04 12:29:45,0.7604166666666666
BHMNCPNST01,485,374,2016-10-04 12:56:49,0.7711340206185567
BHMBCCMKT01,577,269,2016-10-04 13:02:48,0.4662045060658579
BHMBCCPST01,317,195,2016-10-04 13:02:48,0.6151419558359621
BHMBCCSNH01,863,730,2016-10-04 13:02:48,0.8458864426419467
BHMBCCTHL01,387,333,2016-10-04 13:02:48,0.8604651162790697
BHMBRCBRG01,1010,660,2016-10-04 13:02:48,0.6534653465346535
BHMBRCBRG02,1194,598,2016-10-04 13:02:48,0.5008375209380235
BHMBRCBRG03,849,289,2016-10-04 13:02:48,0.3404004711425206
BHMEURBRD01,470,458,2016-10-04 13:02:48,0.9744680851063829
BHMEURBRD02,220,202,2016-10-04 13:02:48,0.9181818181818182
BHMMBMMBX01,687,651,2016-10-04 13:02:48,0.9475982532751092
BHMNCPHST01,1200,773,2016-10-04 13:02:48,0.6441666666666667
BHMNCPLDH01,720,675,2016-10-04 13:02:48,0.9375
BHMNCPNHS01,500,499,2016-10-04 13:02:48,0.998
BHMNCPPLS01,450,103,2016-10-04 13:02:48,0.2288888888888889
BHMNCPRAN01,600,555,2016-10-04 13:02:48,0.925
Broad Street,690,660,2016-10-04 13:02:48,0.9565217391304348
Bull Ring,3053,1547,2016-10-04 13:02:48,0.5067147068457255
NIA Car Parks,1268,260,2016-10-04 13:02:48,0.20504731861198738
NIA South,788,252,2016-10-04 13:02:48,0.3197969543147208
Others-CCCPS105a,2009,1461,2016-10-04 13:02:48,0.7272274763563962
Others-CCCPS119a,2803,596,2016-10-04 13:02:48,0.21262932572244025
Others-CCCPS133,4675,2675,2016-10-04 13:02:48,0.5721925133689839
Others-CCCPS135a,3883,3232,2016-10-04 13:02:48,0.8323461241308266
Others-CCCPS202,2937,1367,2016-10-04 13:02:48,0.4654409261150834
Others-CCCPS8,1322,810,2016-10-04 13:02:48,0.6127080181543116
Others-CCCPS98,3103,1288,2016-10-04 13:02:48,0.41508217853689977
Shopping,1920,1448,2016-10-04 13:02:48,0.7541666666666667
BHMBCCMKT01,577,263,2016-10-04 13:29:45,0.4558058925476603
BHMBCCPST01,317,200,2016-10-04 13:29:45,0.6309148264984227
BHMBCCSNH01,863,716,2016-10-04 13:29:45,0.8296639629200464
BHMBCCTHL01,387,331,2016-10-04 13:29:45,0.8552971576227391
BHMBRCBRG01,1010,669,2016-10-04 13:29:45,0.6623762376237624
BHMBRCBRG02,1194,597,2016-10-04 13:29:45,0.5
BHMBRCBRG03,849,288,2016-10-04 13:29:45,0.3392226148409894
BHMEURBRD01,470,450,2016-10-04 13:29:45,0.9574468085106383
BHMEURBRD02,220,198,2016-10-04 13:29:45,0.9
BHMMBMMBX01,687,648,2016-10-04 13:29:45,0.9432314410480349
BHMNCPHST01,1200,758,2016-10-04 13:29:45,0.6316666666666667
BHMNCPLDH01,720,674,2016-10-04 13:29:45,0.9361111111111111
BHMNCPNHS01,500,499,2016-10-04 13:29:45,0.998
BHMNCPNST01,485,375,2016-10-04 13:29:45,0.7731958762886598
BHMNCPPLS01,450,105,2016-10-04 13:29:45,0.23333333333333334
BHMNCPRAN01,600,537,2016-10-04 13:29:45,0.895
Broad Street,690,648,2016-10-04 13:29:45,0.9391304347826087
Bull Ring,3053,1554,2016-10-04 13:29:45,0.5090075335735342
NIA Car Parks,1268,246,2016-10-04 13:29:45,0.19400630914826497
NIA South,788,246,2016-10-04 13:29:45,0.31218274111675126
Others-CCCPS105a,2009,1459,2016-10-04 13:29:45,0.726231956197113
Others-CCCPS119a,2803,581,2016-10-04 13:29:45,0.20727791651801641
Others-CCCPS133,4675,2682,2016-10-04 13:29:45,0.5736898395721926
Others-CCCPS135a,3883,3184,2016-10-04 13:29:45,0.8199845480298739
Others-CCCPS202,2937,1360,2016-10-04 13:29:45,0.4630575417092271
Others-CCCPS8,1322,811,2016-10-04 13:29:45,0.613464447806354
Others-CCCPS98,3103,1273,2016-10-04 13:29:45,0.4102481469545601
Shopping,1920,1432,2016-10-04 13:29:45,0.7458333333333333
BHMBCCMKT01,577,238,2016-10-04 14:02:47,0.4124783362218371
BHMBCCPST01,317,201,2016-10-04 14:02:47,0.6340694006309149
BHMBCCSNH01,863,680,2016-10-04 14:02:47,0.7879490150637312
BHMBCCTHL01,387,332,2016-10-04 14:02:47,0.8578811369509044
BHMBRCBRG01,1010,662,2016-10-04 14:02:47,0.6554455445544555
BHMBRCBRG02,1194,593,2016-10-04 14:02:47,0.4966499162479062
BHMBRCBRG03,849,286,2016-10-04 14:02:47,0.336866902237927
BHMEURBRD01,470,446,2016-10-04 14:02:47,0.948936170212766
BHMEURBRD02,220,193,2016-10-04 14:02:47,0.8772727272727273
BHMMBMMBX01,687,637,2016-10-04 14:02:47,0.9272197962154294
BHMNCPHST01,1200,757,2016-10-04 14:02:47,0.6308333333333334
BHMNCPLDH01,720,673,2016-10-04 14:02:47,0.9347222222222222
BHMNCPNHS01,500,499,2016-10-04 14:02:47,0.998
BHMNCPNST01,485,381,2016-10-04 14:02:47,0.7855670103092783
BHMNCPPLS01,450,102,2016-10-04 14:02:47,0.22666666666666666
BHMNCPRAN01,600,536,2016-10-04 14:02:47,0.8933333333333333
Broad Street,690,639,2016-10-04 14:02:47,0.9260869565217391
Bull Ring,3053,1541,2016-10-04 14:02:47,0.504749426793318
NIA Car Parks,1268,240,2016-10-04 14:02:47,0.1892744479495268
NIA South,788,240,2016-10-04 14:02:47,0.30456852791878175
Others-CCCPS105a,2009,1452,2016-10-04 14:02:47,0.7227476356396217
Others-CCCPS119a,2803,576,2016-10-04 14:02:47,0.20549411344987514
Others-CCCPS133,4675,2661,2016-10-04 14:02:47,0.5691978609625669
Others-CCCPS135a,3883,3145,2016-10-04 14:02:47,0.8099407674478496
Others-CCCPS202,2937,1352,2016-10-04 14:02:47,0.4603336738168199
Others-CCCPS8,1322,815,2016-10-04 14:02:47,0.6164901664145235
Others-CCCPS98,3103,1262,2016-10-04 14:02:47,0.40670319046084435
Shopping,1920,1430,2016-10-04 14:02:47,0.7447916666666666
BHMNCPNHS01,500,499,2016-10-04 14:22:47,0.998
BHMBCCMKT01,577,215,2016-10-04 14:29:49,0.37261698440207974
BHMBCCPST01,317,203,2016-10-04 14:29:49,0.6403785488958991
BHMBCCSNH01,863,650,2016-10-04 14:29:49,0.7531865585168018
BHMBCCTHL01,387,322,2016-10-04 14:29:49,0.8320413436692506
BHMBRCBRG01,1010,596,2016-10-04 14:29:49,0.5900990099009901
BHMBRCBRG02,1194,553,2016-10-04 14:29:49,0.4631490787269682
BHMBRCBRG03,849,275,2016-10-04 14:29:49,0.32391048292108365
BHMEURBRD01,470,433,2016-10-04 14:29:49,0.9212765957446809
BHMEURBRD02,220,188,2016-10-04 14:29:49,0.8545454545454545
BHMMBMMBX01,687,627,2016-10-04 14:29:49,0.9126637554585153
BHMNCPHST01,1200,760,2016-10-04 14:29:49,0.6333333333333333
BHMNCPLDH01,720,669,2016-10-04 14:29:49,0.9291666666666667
BHMNCPNST01,485,373,2016-10-04 14:29:49,0.7690721649484537
BHMNCPPLS01,450,98,2016-10-04 14:29:49,0.21777777777777776
BHMNCPRAN01,600,535,2016-10-04 14:29:49,0.8916666666666667
Broad Street,690,621,2016-10-04 14:29:49,0.9
Bull Ring,3053,1424,2016-10-04 14:29:49,0.4664264657713724
NIA Car Parks,1268,234,2016-10-04 14:29:49,0.18454258675078863
NIA South,788,234,2016-10-04 14:29:49,0.2969543147208122
Others-CCCPS105a,2009,1420,2016-10-04 14:29:49,0.7068193130910901
Others-CCCPS119a,2803,560,2016-10-04 14:29:49,0.19978594363182306
Others-CCCPS133,4675,2522,2016-10-04 14:29:49,0.5394652406417112
Others-CCCPS135a,3883,3113,2016-10-04 14:29:49,0.8016997167138811
Others-CCCPS202,2937,1318,2016-10-04 14:29:49,0.44875723527408923
Others-CCCPS8,1322,793,2016-10-04 14:29:49,0.5998487140695915
Others-CCCPS98,3103,1238,2016-10-04 14:29:49,0.39896873992910087
Shopping,1920,1429,2016-10-04 14:29:49,0.7442708333333333
BHMBCCMKT01,577,192,2016-10-04 14:57:13,0.3327556325823224
